Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
dmlab,7,0.000001,0,5,0.2234,0.162846017,0.166791247,0.05634204,0.168023144,0.493727645,0.165630945,14.00357403,0.028646473
dmlab,8,2.34E-06,3,8,0.203,0.16789706,0.160284926,0.036386247,0.159889365,0.509384676,0.178926456,31.98374624,0.039867859
dmlab,9,0.000001,3,3,0.233,0.167778939,0.164108243,0.057000327,0.164028935,0.48539075,0.16444573,31.13572776,0.036788896
food101,0,3.00E-06,3,8,0.014,0.009798236,0.014783256,0.003578654,0.014886437,0.493198887,0.021864315,32.29328645,0.039745434
food101,1,5.55E-06,3,8,0.0066,0.009979833,0.004966713,0.009776764,0.004906376,0.493198887,0.021864315,31.17345888,0.033462212
food101,2,7.00E-06,3,5,0.033,0.009997253,0.015517351,0.004559752,0.014877682,0.505328783,0.020529199,15.23064813,0.029735529
food101,3,1.10E-06,0,3,0.02,0.009999328,0.014456878,0.000655763,0.013945443,0.495745398,0.015334431,30.05555693,0.033753
food101,4,1.67E-06,2,8,0.0313,0.009798638,0.02008735,0.005567465,0.020093585,0.490652376,0.028394199,23.3725344,0.030003534
food101,5,1.67E-06,2,7,0.01499449,0.009836547,0.012983635,0.000898785,0.010736824,0.506634829,0.027783552,18.12674561,0.031073579
food101,6,3.55E-06,1,4,0.0111,0.009902896,0.010374507,0.000326747,0.006782357,0.493354677,0.022127368,30.78543464,0.032436445
food101,7,4.81E-06,1,4,0.012322,0.009929864,0.008368748,0.000566875,0.008753125,0.499590347,0.021419276,32.23534586,0.033675353
food101,8,1.50E-06,3,4,0.0099,0.009957864,0.008557635,0.002568757,0.008087343,0.497558057,0.023837394,25.00961113,0.0289632
food101,9,5.02E-06,0,5,0.0225,0.009982361,0.013387545,0.001079532,0.016668927,0.52334406,0.032230573,12.53284933,0.030999725
deep_weeds,0,5.23E-06,3,8,0.533334571,0.112237544,0.100376244,0.058968545,0.124658524,0.544687458,0.134096487,25.44589081,0.033378454
deep_weeds,1,2.23E-06,3,8,0.534540408,0.2543678,0.092364571,0.057857457,0.100246677,0.487977575,0.119998954,23.45923652,0.033896346
deep_weeds,2,0.000002,2,7,0.5499744,0.10062745,0.098765467,0.063764765,0.118753285,0.440872441,0.103978685,34.00745354,0.035690659
deep_weeds,3,5.43E-05,2,7,0.479835286,0.1103245,0.09668754,0.0589824,0.095006325,0.455983247,0.098936574,29.93475342,0.03509686
deep_weeds,4,0.000001,2,7,0.539623498,0.09873845,0.121398574,0.059996427,0.096546535,0.529076985,0.110974543,30.02343481,0.032896574
deep_weeds,5,0.024351789,3,4,0.057253496,0.14234745,0.1856465,0.006862473,0.999626374,0.510092735,0.479073453,20.04893264,0.030775521
deep_weeds,6,0.00002,2,4,0.5376,0.09996432,0.1289654,0.059976474,0.88425374,0.51409624,0.134753225,23.2287422,0.029076346
deep_weeds,7,1.14E-05,1,4,0.458732452,0.100273645,0.107654323,0.169976534,0.13389654,0.460964951,0.127777424,38.92374004,0.033888454
deep_weeds,8,5.03E-06,1,7,0.52643449,0.13275432,0.111079655,0.056873223,0.128643459,0.511198657,0.157254168,19.22276618,0.028997623
deep_weeds,9,1.88E-06,1,7,0.548745473,0.092972345,0.1896547,0.058888642,0.1112785,0.512198653,0.122784333,20.00034271,0.027864424
eurosat,0,0.000278651,2,4,0.658,0.037777489,0.655557667,0.624475324,0.620032747,0.93076555,0.680032342,23.49972047,0.029761914
eurosat,1,0.000122291,3,4,0.64,0.035709635,0.639869485,0.645554553,0.629926345,0.919765423,0.645553276,25.60084656,0.020362399
eurosat,2,0.000278544,3,5,0.68,0.035983578,0.639906586,0.677894254,0.648864237,0.930074332,0.692287466,23.00943623,0.021080823
eurosat,3,0.000111118,2,4,0.663,0.039889437,0.639068424,0.635578524,0.61097464,0.916623565,0.665582395,27.32976548,0.029011703
eurosat,4,0.000198751,2,2,0.75,0.034000032,0.660023467,0.665823981,0.688364119,0.932286418,0.680072354,20.00823649,0.029003826
eurosat,5,0.000233587,2,2,0.62,0.03699964,0.650018357,0.658423541,0.648825342,0.919876563,0.61008766,20.09735301,0.029999449
eurosat,6,0.000478688,3,4,0.63,0.039007353,0.618884264,0.623306845,0.614409866,0.889763255,0.633097654,21.99732459,0.033008658
eurosat,7,0.00024665,2,8,0.74,0.02777343,0.721123757,0.730004237,0.720732636,0.942278355,0.740007237,21.17834633,0.030076522
eurosat,8,0.000197652,3,5,0.635,0.039555,0.677455432,0.656629835,0.659876542,0.929998652,0.680485111,23.70008733,0.033182687
eurosat,9,0.000558342,2,4,0.66,0.039932645,0.628888925,0.640004856,0.633865256,0.930745757,0.679998524,20.08235315,0.030011832
