Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
deep_weeds,7,4.25E-05,3,7,0.43877551,0.113882964,0.117460317,0.16875,0.117460317,0.486277652,0.129805868,34.5656209,0.034472704
deep_weeds,8,2.10E-06,1,7,0.530612245,0.111111111,0.111111111,0.058956916,0.111111111,0.502783112,0.130675661,22.76617622,0.029387474
deep_weeds,9,1.26E-06,1,7,0.535714286,0.111111111,0.111111111,0.05952381,0.111111111,0.509446584,0.119291915,22.86178613,0.028584242
dmlab,0,1.87E-06,3,8,0.23,0.165190677,0.171509972,0.06678487,0.171509972,0.48186922,0.172446956,34.90634441,0.0369699
dmlab,1,0.000001,3,4,0.215,0.168055834,0.161538462,0.065708671,0.161538462,0.483794252,0.172855833,35.81338334,0.036750317
dmlab,2,1.00E-06,2,3,0.232323232,0.165100763,0.173781676,0.092896175,0.173781676,0.530703663,0.205470055,30.72203445,0.043107748
dmlab,3,0.000001,3,2,0.21,0.169491752,0.156125356,0.051306718,0.156125356,0.496206721,0.171699126,37.67018247,0.362910986
dmlab,4,1.10E-06,3,5,0.215,0.168216122,0.161538462,0.070999322,0.161538462,0.47794311,0.179389614,35.21840954,0.040370941
dmlab,5,1.01E-06,0,8,0.205,0.169845722,0.155840456,0.067676768,0.155840456,0.538041472,0.180321145,17.08718324,0.029200315
dmlab,6,1.01E-06,3,4,0.225,0.166626595,0.166666667,0.037688442,0.166666667,0.442404181,0.159495605,36.02035308,0.037318707
dmlab,7,0.000001,0,8,0.225,0.166306017,0.167236467,0.055263158,0.167236467,0.495276594,0.164874295,17.17141533,0.030907631
dmlab,8,3.38E-06,3,8,0.215,0.16873706,0.159259259,0.036195286,0.159259259,0.513047577,0.177115017,34.90278792,0.047418594
dmlab,9,0.000001,3,3,0.222222222,0.167427139,0.163532764,0.05643739,0.163532764,0.482321296,0.164493915,36.53749776,0.035598516
eurosat,0,0.000187807,3,4,0.665,0.037013632,0.627667291,0.623228584,0.627667291,0.92549756,0.670910187,26.34462047,0.030619144
eurosat,1,0.000120828,3,2,0.65,0.038954098,0.628783718,0.644550353,0.628783718,0.918923023,0.646869757,29.60775661,0.029623985
eurosat,2,0.000354328,2,5,0.67,0.036683096,0.643043305,0.664023859,0.643043305,0.929605633,0.691609978,21.28722262,0.026082277
eurosat,3,0.000167925,3,2,0.645,0.039366243,0.623958637,0.636449622,0.623958637,0.91965508,0.668202013,29.28348017,0.030117035
eurosat,4,0.000250208,3,4,0.7,0.033381036,0.668311895,0.664350759,0.668311895,0.936531272,0.682008782,25.93390536,0.029355526
eurosat,5,0.000290087,3,5,0.66,0.037693265,0.642517625,0.643090384,0.642517625,0.909016598,0.619583154,25.3010211,0.031616449
eurosat,6,0.000535518,3,8,0.64,0.039873783,0.619621674,0.626745075,0.619621674,0.89612188,0.628075279,25.23572874,0.034379482
eurosat,7,0.000560505,3,8,0.73,0.029829511,0.723113457,0.739479791,0.723113457,0.944508378,0.741658624,25.17047501,0.031689644
eurosat,8,0.000258732,3,5,0.665,0.0372373,0.654543234,0.659059108,0.654543234,0.930182922,0.684640042,25.77515268,0.035292387
eurosat,9,0.000399914,3,8,0.65,0.038967155,0.627202558,0.635591545,0.627202558,0.918161676,0.669852365,24.90223145,0.030750751
food101,0,2.93E-06,3,2,0.015,0.009862974,0.014851485,0.00330033,0.014851485,-1,-1,38.23714948,0.040434361
food101,1,5.44E-06,3,8,0.005,0.009960187,0.004950495,0.00990099,0.004950495,-1,-1,35.1007576,0.036677122
food101,2,6.35E-06,0,5,0.02,0.009828394,0.014851485,0.004076486,0.014851485,0.505328783,0.020529199,17.93388128,0.028437853
food101,3,1.14E-06,2,8,0.025,0.0098111,0.014026403,0.000684937,0.014026403,0.496735905,0.015262013,29.0436933,0.035492659
food101,4,1.34E-06,1,7,0.030612245,0.00973853,0.021452145,0.005237309,0.021452145,0.490652376,0.022832199,23.3233614,0.030626774
food101,5,1.36E-06,0,7,0.015306122,0.009878513,0.011551155,0.000897307,0.011551155,-1,-1,17.69416285,0.032595873
food101,6,3.52E-06,2,4,0.01,0.009941096,0.00660066,0.000319387,0.00660066,0.493354677,0.022127368,30.49798226,0.034516811
food101,7,2.80E-06,3,3,0.01010101,0.009931582,0.008250825,0.000540501,0.008250825,-1,-1,36.76446486,0.036606789
food101,8,5.50E-06,0,2,0.01,0.00991983,0.008250825,0.002337734,0.008250825,-1,-1,20.22009611,0.029479504
food101,9,1.00E-06,0,5,0.025,0.009794888,0.01650165,0.001173637,0.01650165,0.504406033,0.030057295,18.02765393,0.030899286
horses_or_humans,0,0.002281886,3,6,0.431372549,0.568846154,0.431153846,0.431153846,0.431153846,0.385576923,0.451852078,18.19212031,0.026335001
horses_or_humans,1,3.57E-06,0,6,0.5,0.505,0.495,0.493246753,0.495,0.525769231,0.536251369,9.150094748,0.022793293
horses_or_humans,2,1.56E-06,3,5,0.46,0.544617847,0.455382153,0.443429731,0.455382153,0.457382953,0.471148025,18.41289234,0.025120258
horses_or_humans,3,0.000846884,3,2,0.470588235,0.527916827,0.472083173,0.471953578,0.472083173,0.486619176,0.540949636,19.79068542,0.02709794
horses_or_humans,4,0.003736964,3,2,0.519607843,0.478436658,0.521563342,0.52173913,0.521563342,0.521852137,0.539332582,19.88710022,0.025876522
horses_or_humans,5,1.78E-05,0,4,0.47,0.53,0.47,0.467032967,0.47,0.5168,0.55336404,9.441675663,0.021965265
horses_or_humans,6,0.000431139,2,2,0.529411765,0.471923077,0.528076923,0.528605016,0.528076923,0.536538462,0.530012661,16.80726814,0.027027845
horses_or_humans,7,0.000452533,0,2,0.460784314,0.538846154,0.461153846,0.461108972,0.461153846,0.448461538,0.485569451,10.40283275,0.022951841
horses_or_humans,8,1.00E-06,2,4,0.51,0.496398559,0.503601441,0.506097561,0.503601441,0.527010804,0.525477414,15.73598027,0.02470994
horses_or_humans,9,0.000421179,1,2,0.5,0.498461538,0.501538462,0.501576665,0.501538462,0.480576923,0.494899533,13.33801508,0.024080992
kmnist,0,0.00001,1,4,0.105,0.100178518,0.098592133,0.092172026,0.098592133,0.491330142,0.109466871,6.80076623,0.03750205
kmnist,1,1.01E-06,1,5,0.12,0.098373979,0.113830228,0.104603938,0.113830228,0.494257001,0.107616693,5.679089308,0.028790236
kmnist,2,5.00E-06,1,2,0.08,0.103143255,0.072763975,0.04059995,0.072763975,0.484526658,0.10053542,10.85286951,0.043041229
kmnist,3,9.36E-06,0,2,0.13,0.097278047,0.122163561,0.092395382,0.122163561,0.508271588,0.114017564,9.298863173,0.0335536
kmnist,4,0.000332591,0,6,0.101010101,0.099915745,0.100198306,0.100571348,0.100198306,0.471002776,0.106537094,4.492609501,0.029195547
kmnist,5,3.65E-06,1,4,0.085,0.102738484,0.076811594,0.042556366,0.076811594,0.482868881,0.100757827,6.701140165,0.031359196
kmnist,6,8.66E-06,1,7,0.076530612,0.103640231,0.069619701,0.040084225,0.069619701,0.436190034,0.086802276,4.986211777,0.028214693
kmnist,7,1.49E-05,1,6,0.116161616,0.099243694,0.107965021,0.101189754,0.107965021,0.495629098,0.116174279,5.17966485,0.026267052
kmnist,8,1.08E-06,0,7,0.12755102,0.097445387,0.121544012,0.070467721,0.121544012,0.529479452,0.115008158,4.207439423,0.025787592
kmnist,9,0.00842217,2,3,0.136363636,0.096095318,0.134216982,0.133348572,0.134216982,0.562134285,0.151455159,8.901676893,0.040893793
mnist,0,1.30E-05,2,4,0.095,0.101573465,0.085331263,0.051633729,0.085331263,0.548924639,0.118709812,5.671272039,0.0185287
mnist,1,3.87E-06,0,7,0.132653061,0.097767826,0.117771058,0.11751773,0.117771058,0.491671457,0.111163283,3.244337082,0.014761686
mnist,2,0.000260453,3,8,0.11,0.098996481,0.107237796,0.10366583,0.107237796,0.511401773,0.115231149,5.75396204,0.016482592
mnist,3,2.53E-05,2,2,0.115,0.098687375,0.112429443,0.118438207,0.112429443,0.503721588,0.108040683,8.694143772,0.01943469
mnist,4,1.05E-06,1,8,0.115,0.098554495,0.113614719,0.163166792,0.113614719,0.499717486,0.100897714,4.258828402,0.015549898
mnist,5,5.32E-06,0,3,0.116161616,0.098683216,0.111954887,0.110390643,0.111954887,0.489002534,0.118700109,4.008262634,0.016686201
mnist,6,2.42E-05,3,8,0.11,0.09953473,0.104069264,0.08446877,0.104069264,0.504655858,0.10951951,6.09912324,0.01713419
mnist,7,5.82E-05,0,4,0.1,0.100421667,0.095924049,0.097508636,0.095924049,0.487722903,0.104365341,3.486341715,0.016918421
